student_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0088dc183f73c83f763e,0.55248517,0.733772,2.7525756,-1.9733351,-1.0101321,-0.7637811,2.7465694,-0.9650933,0.5976956,0.6940717,-0.33258152,-1.4826281,1.1217467,-0.6604492,-1.1104846,0.51616126
00cbf05221bb479e66c3,0.58845747,0.8445076,3.2768562,-2.1958528,-1.1030931,-0.86940396,3.2502973,-1.1486789,0.7419088,0.78468794,-0.38444898,-1.5894767,1.3035536,-0.66061944,-1.2922684,0.611788
00df647ee4bf7173642f,0.3940022,0.38964793,1.6858622,-1.1632555,-0.81597424,-0.38798502,1.7970737,-0.72153234,0.54643965,0.5721147,-0.1721782,-0.9297365,0.39392394,-0.35234836,-0.8323089,0.20505047
0107f72b66cbd1a0926d,-0.70840293,-1.065961,-2.9773023,3.2151005,-2.7223206,1.0952662,-2.9508584,-0.33086765,-0.46544513,1.8039222,0.49926242,3.0319824,-1.6679109,1.0464722,-1.348559,-0.656939
011d454f199c123d44ad,-0.0536641,-0.42610654,-1.5557888,1.8235842,-1.8780135,0.31078267,-1.2630657,-0.86451775,0.3407394,1.5661902,0.093438454,1.7229811,-0.7144391,0.09055501,-1.3322455,-0.21805504
01558eef77a8d39b7103,-0.55927384,-0.9010059,-2.7336378,3.0501842,-2.630168,0.95758754,-2.6352901,-0.559274,-0.34930775,1.833837,0.39025524,2.9416296,-1.4407449,0.8362004,-1.3953079,-0.54259413
016226278e6a69e10aa4,0.49254128,0.76724523,2.976986,-1.9218161,-1.0525227,-0.7606334,2.9994838,-1.0370026,0.71641135,0.68890506,-0.30090833,-1.4001079,1.2992109,-0.6827259,-1.1592736,0.5179811
01a691413dc5897db83f,0.5857181,0.5177438,2.4526048,-1.6631048,-0.983443,-0.57745606,2.6359043,-1.0706973,0.7054964,0.80358803,-0.20791271,-1.2210149,0.71667093,-0.5941952,-1.1652415,0.31521067
01d8aa21ef476b66c573,-0.41189554,-0.70576113,-2.0604317,2.4881425,-2.7716343,0.7308391,-2.015165,-0.60368186,-0.2356336,1.8398292,0.32061964,2.4734745,-1.1286842,0.7269405,-1.5812552,-0.42094326
01qkq6w2v62cimidb3b7,-1.1204872,-1.6688002,-0.03075907,-2.2030447,5.0302835,1.561909,-0.62317693,4.2850466,-2.493554,-4.398224,0.89446783,-3.4884984,-2.6473117,2.1292343,4.659579,-0.82783884
02068067a434adb6556a,0.021440033,-0.021043265,-0.18474163,-0.20659865,-0.03420655,-0.0010137145,-0.33275524,0.09813472,0.039060872,-0.1320256,-0.034237016,-0.22058585,0.020156318,-0.04169322,0.10761532,0.035227396
0258f681a9e1756dfc76,0.66408324,0.8063194,3.453903,-2.291441,-1.2021017,-0.8269374,3.5269833,-1.3568932,0.8881618,0.86878586,-0.30891815,-1.6351503,1.4560076,-0.8507044,-1.4518727,0.5378046
03754dce5ec7731fb3e2,-0.99377376,-1.5335001,-4.269413,4.5615525,-3.0162556,1.5931431,-4.1299486,-0.34642673,-0.59804535,2.1642644,0.7344574,4.275732,-2.4005644,1.4203602,-1.3652682,-0.9890819
037a76bc8e6bf5fe1fc0,-0.08452279,-0.12512329,-0.58914787,0.47086215,-0.7675498,0.14863825,-0.6614259,-0.07619296,-0.03293541,0.39179206,0.03079779,0.4902552,-0.1896819,0.12172936,-0.34347433,-0.038730692
03aa0b20dd4af1888eef,0.48117796,0.76473826,2.9165106,-1.5426846,-0.8515909,-0.7223075,2.9905472,-1.0403124,0.8090827,0.67586493,-0.34000885,-1.1584055,1.3778763,-0.8248575,-1.0177242,0.47094807
03b463f52c0fff35433b,-0.64784926,-1.0195705,-2.9640622,3.1588452,-2.7440627,1.0530627,-2.9418862,-0.3723142,-0.5064486,1.7956592,0.47069517,3.008215,-1.6813583,1.0381196,-1.3556124,-0.6349163
03e0c9bff3a9557480d9,0.281747,0.5355913,2.1306195,-1.1385171,-1.0763842,-0.5118525,2.1827896,-0.79307646,0.5579092,0.65715885,-0.19101718,-0.74929315,0.95464486,-0.49790227,-1.0067865,0.33894554
04f2689b4ea16d8d7d9a,-0.76475656,-0.8606046,0.85178757,-3.581142,3.9441252,0.7263238,0.26943216,2.7423444,-1.6918231,-3.4349692,0.3969216,-4.1929703,-1.5720323,1.4909266,3.2629662,-0.5370399
0557b1363a5092b5811f,0.46843666,0.36172387,1.4363581,-0.55696964,-1.2965648,-0.43295935,1.6167517,-1.0490566,0.7732322,1.0632404,-0.16984181,-0.26499778,0.4431286,-0.4791968,-1.2185836,0.2601126
0559e9cf806dab4cc20d,0.272126,0.52499676,2.2344487,-1.6947848,-0.39140698,-0.49730605,2.1441014,-0.5274356,0.37243113,0.12599261,-0.2211785,-1.3489729,0.9514979,-0.43681276,-0.53311014,0.37215987
056ab41140f68c15db14,0.5215535,0.7771921,3.1243613,-2.0430791,-1.3036531,-0.7940342,3.0975308,-1.1958294,0.7490611,0.8449256,-0.30094424,-1.4420959,1.2924894,-0.6566421,-1.3892717,0.4995761
058c03d945c4ae0978a0,-0.4339631,-0.6500369,-1.9892977,2.343183,-2.5455425,0.6850876,-1.9440496,-0.53519696,-0.29929027,1.6991214,0.27258283,2.308338,-1.06609,0.71433437,-1.4513975,-0.37588468
05e1c3ce1728da7e37e0,-0.600965,-0.5552626,1.0995278,-3.1855087,3.179383,0.4929456,0.50149155,2.2836227,-1.4424055,-2.8682888,0.29447117,-3.615385,-1.0429628,1.1151927,2.6678398,-0.26861143
05e6d9723ab3cde0841d,0.35474524,0.257475,1.5599844,-1.2799484,-0.6098429,-0.33031234,1.682752,-0.581151,0.44590154,0.48295695,-0.06869311,-1.0422131,0.16588369,-0.26033056,-0.66551226,0.17122775
