student_ID,rank_label_1
0088dc183f73c83f763e,Top 2/3
00cbf05221bb479e66c3,Top 2/3
00df647ee4bf7173642f,Top 2/3
0107f72b66cbd1a0926d,Top 1/3
011d454f199c123d44ad,Top 1/3
01558eef77a8d39b7103,Top 1/3
016226278e6a69e10aa4,Top 2/3
01a691413dc5897db83f,Top 2/3
01d8aa21ef476b66c573,Top 1/3
01qkq6w2v62cimidb3b7,Top 3/3
02068067a434adb6556a,Top 3/3
0258f681a9e1756dfc76,Top 2/3
03754dce5ec7731fb3e2,Top 1/3
037a76bc8e6bf5fe1fc0,Top 1/3
03aa0b20dd4af1888eef,Top 2/3
03b463f52c0fff35433b,Top 1/3
03e0c9bff3a9557480d9,Top 2/3
04f2689b4ea16d8d7d9a,Top 3/3
0557b1363a5092b5811f,Top 2/3
0559e9cf806dab4cc20d,Top 2/3
056ab41140f68c15db14,Top 2/3
058c03d945c4ae0978a0,Top 1/3
05e1c3ce1728da7e37e0,Top 3/3
05e6d9723ab3cde0841d,Top 2/3
061db2c91f94c612f2d4,Top 1/3
06309f4c8785254f4c13,Top 1/3
06aff3e28c5db152f506,Top 1/3
071685b292483b04e836,Top 1/3
074d7f43de7264306775,Top 2/3
077d5c82c9ee5019220f,Top 1/3
07e3362d20ff4337671b,Top 1/3
091554ffa26fc9b17c36,Top 1/3
09400a9b50b6c96c5510,Top 1/3
098b2c66cbc1ed736e14,Top 1/3
0999173c045ee29a0b44,Top 1/3
09dfa3f18e48917f0242,Top 2/3
09e4bfadd7e012c37c7c,Top 1/3
0a7f1a73361654329281,Top 1/3
0a8736f6520cea837d94,Top 2/3
0b02f701b1179f9f74f9,Top 2/3
0b16d35f1f39a063708a,Top 2/3
0b28c0a454678b75eefb,Top 1/3
0b307ee95b41e222f204,Top 1/3
0b828e1ae026c57b34dd,Top 1/3
0b8bea274b24847526b7,Top 2/3
0bb8692f43a372e8d967,Top 1/3
0c57caf5358d30408034,Top 1/3
0c670262b3941d307600,Top 1/3
0c81ca27b7d931b6ff6e,Top 2/3
0d260d8fac2289c8ed9e,Top 2/3
0d4a3518a188f6888380,Top 1/3
0dapvs3h4h3h1ahmt2o8,Top 2/3
0df40593e76a840fd64b,Top 2/3
0e062d9fa22dc8e3bca2,Top 1/3
0e804947f4cdc2721046,Top 1/3
0eb6eec8b4bee8ab6a44,Top 2/3
0ef8b2c9e039eaace596,Top 2/3
0f160cd19890b97092b9,Top 1/3
0f8bd9e33125347965a1,Top 2/3
0fc996fff93c00ca5ced,Top 2/3
0gfiioqi5g8djhh1wzol,Top 3/3
0i1e50rz4mkhee97xvpo,Top 3/3
0lgtv09uoh3ova8sjbze,Top 3/3
0m2kzubx9r60wyrsjj7j,Top 3/3
0m8o7nuv982vnv3328qw,Top 3/3
0maggb1hf886m5u6p2vr,Top 3/3
0qamadarf6xhm9pm2jta,Top 3/3
0sgnvj4zfg3xjjb9fl6h,Top 3/3
0txd5enpfmbrth46w74b,Top 3/3
0z4mockl76xn8mhdaehw,Top 3/3
1096bd470d3ddff1ec1c,Top 2/3
10de703c06bf9d873d68,Top 1/3
10qi28ikwz4c4v22b06i,Top 3/3
10xnkvdetxarrkdhx4i9,Top 3/3
117ee98c7f916c88ddbb,Top 2/3
119b36a5797d5ce69625,Top 1/3
11dae4659d30031a10dd,Top 1/3
1202c731c612353ceef0,Top 2/3
1224ceafb61456a033d0,Top 2/3
12s3yomv0kltozc1qxc4,Top 3/3
1329b6cf41debecda787,Top 1/3
132c90d4a027a4477ad0,Top 2/3
1367d35cf39783effa7a,Top 3/3
139429592a9c23c08b71,Top 1/3
1397545fbe9882e5cd42,Top 1/3
13de1d3a55477a0c0329,Top 1/3
13f8b8305f6c25c21921,Top 2/3
13nq2h723zixyhir01lf,Top 3/3
148o63s7q5aitfxmmtrg,Top 2/3
151cd83784ab9007e8d8,Top 2/3
152a0c17daaaa4e65e14,Top 1/3
1552f58e2818ce7fa863,Top 2/3
15ab118362ecbbd03b52,Top 1/3
1629f353a742f6a73251,Top 1/3
166cb02ac436c9d3662f,Top 2/3
16c505069c1e5c2bece5,Top 1/3
16d68f70cf5e52d0b34a,Top 2/3
170a695a2717bcd9b74b,Top 2/3
17656005bd4086137ab7,Top 2/3
17dda5f588bed077c742,Top 1/3
17e429460d5fda251953,Top 2/3
17f2d0e73044110cdea5,Top 1/3
18654732ca312afc173f,Top 1/3
1883af270e36a7580332,Top 1/3
18cdd44af62c6935e7a0,Top 2/3
1974349ec27d7d67bf08,Top 2/3
19793e7e55b68c8dd776,Top 2/3
19buea1jycypffshcw38,Top 3/3
19fb3075dd2798538c9d,Top 1/3
19rc4zj7sw4ms0996992,Top 3/3
1afepx549ssnar1m9acp,Top 3/3
