student_id,class,x_umap,y_umap,cluster_label_umap,x_tsne,y_tsne,cluster_label_tsne,x_pca,y_pca,cluster_label_pca
0088dc183f73c83f763e,Class2,7.1254864,-6.056909,2,-12.46422,42.95676,3,-3.3713941138186065,5.603275440375355,2
00cbf05221bb479e66c3,Class10,6.1447144,-6.4632716,2,-9.854535,47.8623,3,-3.6165734216368444,6.390480245391917,2
00df647ee4bf7173642f,Class14,8.792434,-2.7354898,2,-7.5518913,21.08979,3,-3.07352390711162,3.631115050228311,2
0107f72b66cbd1a0926d,Class5,14.802139,14.408986,3,-6.5685368,-36.001995,1,-5.5166808891368575,-5.985732119636368,0
011d454f199c123d44ad,Class3,11.322354,5.2692184,1,-12.864395,-5.3145523,0,-5.211383038550369,-2.3777708485118003,3
01558eef77a8d39b7103,Class15,13.5031185,12.9685135,3,-15.685044,-33.05529,1,-5.678572502820392,-5.365926893713066,0
016226278e6a69e10aa4,Class4,6.7615857,-6.2495,2,-11.309542,44.98509,3,-3.5395150606696255,5.877025231791836,2
01a691413dc5897db83f,Class13,7.18116,-4.533715,2,-10.169628,34.92458,3,-3.506287487556108,5.011613875533006,2
01d8aa21ef476b66c573,Class1,12.011361,8.810107,1,-27.411852,-14.379456,0,-5.733450514762214,-4.12033633685294,0
01qkq6w2v62cimidb3b7,Class6,-2.7134047,10.460962,0,36.07476,1.8711233,2,9.22542499696721,-0.3602069084208457,1
02068067a434adb6556a,Class11,10.122454,2.3520937,1,-2.1872435,10.354693,3,-1.7706250728619226,0.5094284021686913,3
0258f681a9e1756dfc76,Class6,5.5283165,-6.5522485,2,-7.3328094,50.431118,3,-3.8873188757154415,6.774957341691741,2
03754dce5ec7731fb3e2,Class5,14.377741,18.664669,3,2.863105,-56.415737,1,-6.147653462142353,-8.702481121028384,0
037a76bc8e6bf5fe1fc0,Class11,10.337433,2.7110257,1,-6.6367497,5.234737,0,-2.8572099984948447,-0.5348849088323447,3
03aa0b20dd4af1888eef,Class1,7.0188694,-5.7635927,2,-10.742516,40.01955,3,-3.5995885891226207,5.689813413209421,2
03b463f52c0fff35433b,Class10,14.734506,14.200297,3,-7.439257,-35.64637,1,-5.527790884893332,-5.924134924381164,0
03e0c9bff3a9557480d9,Class5,7.9197803,-3.2781897,2,-5.8052454,27.716536,3,-3.5605406193851037,4.2132904375684435,2
04f2689b4ea16d8d7d9a,Class6,0.13059016,6.3418508,0,17.559347,17.801172,2,7.016235707130866,2.332351842925467,1
0557b1363a5092b5811f,Class11,7.41156,-2.441413,2,1.202843,26.36943,3,-4.22866782381826,3.075803774871247,2
0559e9cf806dab4cc20d,Class9,8.623505,-4.4801955,2,-13.443046,27.485443,3,-2.3388930179215306,4.61289819318683,2
056ab41140f68c15db14,Class14,6.2071495,-6.3063164,2,-8.942297,46.39781,3,-3.843979547763999,6.0713889414158135,2
058c03d945c4ae0978a0,Class2,11.814304,8.235565,1,-26.76173,-12.794813,0,-5.414866260796627,-3.9020949495468815,0
05e1c3ce1728da7e37e0,Class6,0.3180855,6.158788,0,17.259375,17.869946,2,5.41893624804935,2.6570726574332886,1
05e6d9723ab3cde0841d,Class6,8.835967,-2.705248,2,-8.021194,20.573277,3,-2.6435210621330394,3.4376700152635546,2
061db2c91f94c612f2d4,Class4,14.75337,14.208241,3,-7.0696235,-34.94328,1,-5.511653063269075,-5.970788913679074,0
06309f4c8785254f4c13,Class14,11.207262,4.5551424,1,-12.290817,-1.0391263,0,-4.293323538404559,-2.3219182178827706,3
06aff3e28c5db152f506,Class2,12.852407,10.974584,3,-20.826551,-25.652176,1,-5.55399625132414,-4.875785473559971,0
071685b292483b04e836,Class13,12.60944,9.799641,1,-23.496443,-21.435614,0,-5.330703065413768,-4.623612473717564,0
074d7f43de7264306775,Class7,6.4365463,-3.3861067,2,0.72282624,33.31808,3,-4.734170196630755,4.3380574699543395,2
077d5c82c9ee5019220f,Class2,12.89298,10.005735,1,-20.752378,-21.532772,1,-5.145785189669651,-4.845569226052227,0
07e3362d20ff4337671b,Class8,12.935701,9.966097,1,-19.864208,-21.07217,1,-5.052884209562481,-4.891177166723673,0
091554ffa26fc9b17c36,Class11,14.072829,13.927944,3,-13.709353,-35.22282,1,-5.603749774748309,-5.649748643357721,0
09400a9b50b6c96c5510,Class12,12.471987,9.613654,1,-24.637299,-20.807108,0,-5.491880971695879,-4.4148132666522875,0
098b2c66cbc1ed736e14,Class3,14.489436,17.05057,3,1.3116643,-47.547703,1,-5.928842373894064,-6.624952333750063,0
0999173c045ee29a0b44,Class8,14.539272,13.625219,3,-9.134771,-31.980251,1,-5.426010249800564,-5.66925123183269,0
09dfa3f18e48917f0242,Class8,6.038341,-4.361485,2,-0.3295284,39.802265,3,-4.493292957710021,5.138181617284945,2
09e4bfadd7e012c37c7c,Class7,13.161064,11.966554,3,-18.51003,-28.212715,1,-5.484639711507391,-5.174357671584072,0
0a7f1a73361654329281,Class7,14.201677,13.388295,3,-11.655079,-31.93999,1,-5.450873334454491,-5.631485701102879,0
0a8736f6520cea837d94,Class1,7.7225432,-4.152836,2,-9.157832,32.16922,3,-3.5769851119697464,4.595935316793504,2
0b02f701b1179f9f74f9,Class13,6.1440725,-4.4719515,2,-1.948251,39.26225,3,-4.603374467072484,5.072842451128776,2
0b16d35f1f39a063708a,Class13,5.11956,-6.1816783,2,-4.523534,50.872463,3,-4.5627727897506105,7.140220516914305,2
0b28c0a454678b75eefb,Class8,12.036693,7.639156,1,-22.861479,-9.745336,0,-4.726550167220214,-3.801253223586737,3
0b307ee95b41e222f204,Class15,14.511757,16.732388,3,0.34561196,-46.028904,1,-5.856914031617249,-6.509206616576237,0
0b828e1ae026c57b34dd,Class12,13.59872,11.575506,3,-16.550924,-24.917173,1,-4.926327625798349,-5.168456807362654,0
0b8bea274b24847526b7,Class2,7.9995174,-3.081381,2,-5.45815,26.367996,3,-3.513202332972414,4.054641412866305,2
0bb8692f43a372e8d967,Class7,14.437284,14.169407,3,-8.824731,-35.69525,1,-5.658276476515692,-5.883474781682543,0
0c57caf5358d30408034,Class4,10.488934,2.959537,1,-7.7756977,4.8854456,0,-3.1075397692636875,-1.1118322351904775,3
0c670262b3941d307600,Class2,13.888928,13.977632,3,-11.749164,-35.57118,1,-5.880229028683383,-5.682584038125776,0
0c81ca27b7d931b6ff6e,Class15,8.73699,-3.416157,2,-9.80597,25.422075,3,-3.0606064210407036,4.09762009465486,2
0d260d8fac2289c8ed9e,Class8,8.759499,-4.262649,2,-13.231705,26.673166,3,-2.2304271085517278,4.369595790870186,2
0d4a3518a188f6888380,Class4,11.06291,3.752241,1,-10.380207,2.3481014,0,-3.548049986262733,-1.9461305215134819,3
0dapvs3h4h3h1ahmt2o8,Class9,12.486754,-12.409972,2,-44.541115,12.427557,0,-6.890138109512959,7.004900792429402,2
0df40593e76a840fd64b,Class6,5.8640313,-4.67095,2,-0.52530044,40.777897,3,-4.467913435792485,5.279307839163202,2
